id,project,service,group,board,area,roadid,carriageway,location,erp,side,position,class,fault,repair,priority,comment,size,length,width,total,latitude,longitude,faulttime,inspector,inspection,seq,photoid
TEST_ASM_1040,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,3759,01N-0431/11.17-D,266,L,1,PVM,Ravelling,Mill and Fill,3,,30x3,30,3,90,-36.951227,174.858013,2020-02-27 13:24:00,SF,2020_02,437,SH1C3_200227_16869
TEST_ASM_1041,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2471,01N-0431-D,11200,R,4,PVM,Ravelling,Mill and Fill,3,,450x3,450,3,1350,-36.948982,174.857068,2020-02-27 13:24:00,SF,2020_02,483,SH1C3_200227_16897
TEST_ASM_1043,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,3091,3747,01N-0441-R3,15,L,1,PVM,Ravelling,Mill and Fill,3,,30x3,30,3,90,-36.941068,174.853747,2020-02-27 13:25:00,SF,2020_02,523,SH1C3_200227_16977
TEST_ASM_1046,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,178,2486,01N-0438-R3,156,L,1,VEG,Vegetation Encroachment (Horizontal),Spray,3,,60,60,,60,-36.920565,174.843305,2020-02-27 13:27:00,SF,2020_02,522,SH1C3_200227_17233
TEST_ASM_1048,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2490,01N-0431-D,319,L,3,PVM,Ravelling,Mill and Fill,2,,250x3,250,3,750,-36.917795,174.836995,2020-02-27 13:31:00,SF,2020_02,456,SH1C3_200227_17427
TEST_ASM_1050,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,175,2501,01N-0436-R5,182,L,1,VEG,Vegetation Encroachment (Horizontal),Spray,3,,200,200,,200,-36.904743,174.812572,2020-02-27 13:33:00,SF,2020_02,512,SH1C3_200227_17677
TEST_ASM_1051,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,175,2501,01N-0436-R5,264,L,1,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,60,60,,60,-36.904422,174.811745,2020-02-27 13:33:00,SF,2020_02,513,SH1C3_200227_17687
TEST_ASM_1052,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,170,2509,01N-0436-R6,0,R,1,PVM,Alligator Cracking (A/C Rd),Mill and Fill,2,,5x3,5,3,15,-36.902925,174.807958,2020-02-27 13:33:00,SF,2020_02,514,SH1C3_200227_17750
TEST_ASM_1053,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,170,2509,01N-0436-R6,132,L,1,PVM,Ravelling,Mill and Fill,3,,120x2,120,2,240,-36.903402,174.809388,2020-02-27 13:34:00,SF,2020_02,516,SH1C3_200227_17778
TEST_ASM_1054,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2509,01N-0431-D,172,L,1,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,30,30,,30,-36.903577,174.809793,2020-02-27 13:34:00,SF,2020_02,454,SH1C3_200227_17814
TEST_ASM_1055,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2441,01N-0431-D,2808,R,4,PVM,Corrugations,Mill and Fill,3,,5x1,5,1,5,-36.893103,174.803473,2020-02-27 13:38:00,SF,2020_02,460,SH1C3_200227_18169
TEST_ASM_1059,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2427,01N-0431-I,2429,L,3,PVM,Ravelling,Mill and Fill,3,,200x3,200,3,600,-36.890853,174.800323,2020-02-27 13:45:00,SF,2020_02,487,SH1C3_200227_18556
TEST_ASM_106,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,3260,9324,018-0010-R2,22,L,1,PVM,Ravelling,Mill and Fill,3,,20x3,20,3,60,-36.800882,174.63746,2020-02-20 12:23:00,SF,2020_02,220,SH1C3_200220_10989
TEST_ASM_1060,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2427,01N-0431-I,2685,L,3,BAR,Armco Barrier Damaged,Repair,3,,5,5,,5,-36.892283,174.802573,2020-02-27 13:45:00,SF,2020_02,488,SH1C3_200227_18602
TEST_ASM_1061,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,11337,01N-0431-I,3794,L,3,PVM,Ravelling,Mill and Fill,3,,650x3,650,3,1950,-36.900303,174.809562,2020-02-27 13:46:00,SF,2020_02,491,SH1C3_200227_18700
TEST_ASM_1062,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2423,01N-0431-I,5014,L,3,MSC,Abandoned TTM,Pickup Abandoned TTM,2,,1,1,,1,-36.907472,174.819263,2020-02-27 13:47:00,SF,2020_02,492,SH1C3_200227_18804
TEST_ASM_1064,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2418,01N-0431-I,8523,L,3,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,10,10,,10,-36.925978,174.848703,2020-02-27 13:50:00,SF,2020_02,495,SH1C3_200227_19110
TEST_ASM_1065,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2418,01N-0431-I,9083,L,3,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,110,110,,110,-36.930797,174.850543,2020-02-27 13:50:00,SF,2020_02,496,SH1C3_200227_19155
TEST_ASM_1066,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2418,01N-0431-I,9305,L,3,PVM,Ravelling,Mill and Fill,3,,60x3,60,3,180,-36.93271,174.851285,2020-02-27 13:50:00,SF,2020_02,498,SH1C3_200227_19173
TEST_ASM_1067,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2417,01N-0431-I,9724,L,3,PVM,Ravelling,Mill and Fill,3,,40x3,40,3,120,-36.936303,174.852673,2020-02-27 13:50:00,SF,2020_02,499,SH1C3_200227_19209
TEST_ASM_1068,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2416,01N-0431-I,10800,L,3,PVM,Water Seepage,Investigate,2,,1,1,,1,-36.945672,174.855562,2020-02-27 13:51:00,SF,2020_02,500,SH1C3_200227_19303
TEST_ASM_1069,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1769,2475,01N-0431/11.16-I,13491,L,3,PVM,Ravelling,Mill and Fill,3,,900x3,900,3,2700,-36.96612,174.870822,2020-02-27 13:53:00,SF,2020_02,427,SH1C3_200227_19535
TEST_ASM_1070,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1769,2475,01N-0431/11.16-I,14570,L,3,BAR,Armco Barrier Damaged,Repair,2,,5,5,,5,-36.97299,174.879372,2020-02-27 13:54:00,SF,2020_02,430,SH1C3_200227_19625
TEST_ASM_1071,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1769,2475,01N-0431/11.16-I,14757,L,3,PVM,Ravelling,Mill and Fill,3,,900x3,900,3,2700,-36.974565,174.880093,2020-02-27 13:54:00,SF,2020_02,431,SH1C3_200227_19641
TEST_ASM_1072,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1769,2474,01N-0431/11.16-I,16106,L,3,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,100,100,,100,-36.986052,174.884885,2020-02-27 13:55:00,SF,2020_02,434,SH1C3_200227_19765
TEST_ASM_1073,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1769,2474,01N-0431/11.16-I,16399,L,3,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,80,80,,80,-36.988497,174.886128,2020-02-27 13:55:00,SF,2020_02,435,SH1C3_200227_19790
TEST_ASM_1078,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1735,10313,01N-0448/05.06-D,9297,R,3,PVM,Ravelling,Mill and Fill,3,,400x3,400,3,1200,-37.067107,174.92633,2020-02-27 14:06:00,SF,2020_02,545,SH1C3_200227_20918
TEST_ASM_1079,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1735,2407,01N-0448/05.06-D,8502,R,3,PVM,Ravelling,Mill and Fill,2,,30x3,30,3,90,-37.060342,174.92344,2020-02-27 14:07:00,SF,2020_02,542,SH1C3_200227_20992
TEST_ASM_1080,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1735,2407,01N-0448/05.06-D,8284,R,3,PVM,Ravelling,Mill and Fill,2,,640x2,640,2,1280,-37.058603,174.922312,2020-02-27 14:07:00,SF,2020_02,541,SH1C3_200227_21014
TEST_ASM_1081,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1735,2407,01N-0448/05.06-D,7236,R,3,PVM,Ravelling,Mill and Fill,3,,600x2,600,2,1200,-37.05032,174.916698,2020-02-27 14:08:00,SF,2020_02,539,SH1C3_200227_21118
TEST_ASM_1082,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1735,2407,01N-0448/05.06-D,6476,R,3,PVM,Ravelling,Mill and Fill,2,,400x3,400,3,1200,-37.044308,174.912615,2020-02-27 14:08:00,SF,2020_02,536,SH1C3_200227_21192
TEST_ASM_1085,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,195,10089,01N-0448-D,1849,R,3,PVM,Ravelling,Mill and Fill,2,,120x3,120,3,360,-37.006462,174.897727,2020-02-27 14:12:00,SF,2020_02,563,SH1C3_200227_21625
TEST_ASM_1086,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,195,10089,01N-0448-D,1559,R,3,PVM,Ravelling,Mill and Fill,3,,250x3,250,3,750,-37.004397,174.895747,2020-02-27 14:12:00,SF,2020_02,561,SH1C3_200227_21653
TEST_ASM_1087,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,2467,01N-0431/11.17-D,16499,R,3,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,40,40,,40,-36.989297,174.886312,2020-02-27 14:14:00,SF,2020_02,450,SH1C3_200227_21805
TEST_ASM_1088,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,2468,01N-0431/11.17-D,16113,R,3,PVM,Ravelling,Mill and Fill,3,,260x3,260,3,780,-36.986083,174.88468,2020-02-27 14:14:00,SF,2020_02,449,SH1C3_200227_21837
TEST_ASM_1089,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,2469,01N-0431/11.17-D,15393,R,3,PVM,Ravelling,Mill and Fill,2,,200x3,200,3,600,-36.980073,174.881667,2020-02-27 14:14:00,SF,2020_02,446,SH1C3_200227_21899
TEST_ASM_1090,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,2469,01N-0431/11.17-D,13860,R,3,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,200,200,,200,-36.968425,174.873527,2020-02-27 14:16:00,SF,2020_02,444,SH1C3_200227_22041
TEST_ASM_1091,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,2469,01N-0431/11.17-D,13452,R,3,PVM,Ravelling,Mill and Fill,3,,300x3,300,3,900,-36.965898,174.870205,2020-02-27 14:16:00,SF,2020_02,443,SH1C3_200227_22079
TEST_ASM_1092,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,2213,01N-0431/11.17-D,12058,R,3,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,30,30,,30,-36.956078,174.860873,2020-02-27 14:17:00,SF,2020_02,440,SH1C3_200227_22200
TEST_ASM_1093,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1777,2212,01N-0431/11.17-D,11663,R,3,PVM,Ravelling,Mill and Fill,3,,480x3,480,3,1440,-36.952807,174.859137,2020-02-27 14:17:00,SF,2020_02,439,SH1C3_200227_22232
TEST_ASM_1094,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,10244,01N-0431-D,11142,R,3,PVM,Ravelling,Mill and Fill,3,,900x3,900,3,2700,-36.94857,174.856887,2020-02-27 14:18:00,SF,2020_02,481,SH1C3_200227_22274
TEST_ASM_1095,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2434,01N-0431-D,9540,R,3,PVM,Ravelling,Mill and Fill,3,,600x3,600,3,1800,-36.934792,174.851852,2020-02-27 14:19:00,SF,2020_02,477,SH1C3_200227_22416
TEST_ASM_1096,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2434,01N-0431-D,9121,R,3,PVM,Ravelling,Mill and Fill,3,,500x3,500,3,1500,-36.931192,174.850465,2020-02-27 14:19:00,SF,2020_02,476,SH1C3_200227_22454
TEST_ASM_1097,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2434,01N-0431-D,8674,R,3,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,10,10,,10,-36.927348,174.848977,2020-02-27 14:19:00,SF,2020_02,474,SH1C3_200227_22506
TEST_ASM_1098,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2434,01N-0431-D,8396,R,3,PVM,Ravelling,Mill and Fill,2,,420x3,420,3,1260,-36.92497,174.848055,2020-02-27 14:20:00,SF,2020_02,473,SH1C3_200227_22534
TEST_ASM_1099,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,10239,01N-0431-D,6761,R,3,PVM,Ravelling,Mill and Fill,2,,250x3,250,3,750,-36.916822,174.833658,2020-02-27 14:21:00,SF,2020_02,468,SH1C3_200227_22710
TEST_ASM_1100,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2437,01N-0431-D,6278,R,3,PVM,Ravelling,Mill and Fill,3,,400x3,400,3,1200,-36.91559,174.828458,2020-02-27 14:22:00,SF,2020_02,466,SH1C3_200227_22764
TEST_ASM_1101,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2438,01N-0431-D,5693,R,3,PVM,Ravelling,Mill and Fill,2,,150x4,150,4,600,-36.912812,174.82306,2020-02-27 14:22:00,SF,2020_02,464,SH1C3_200227_22826
TEST_ASM_1102,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2438,01N-0431-D,5423,R,3,PVM,Ravelling,Mill and Fill,3,,400x3,400,3,1200,-36.9107,174.821528,2020-02-27 14:22:00,SF,2020_02,463,SH1C3_200227_22857
TEST_ASM_1103,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2441,01N-0431-D,3770,R,3,PVM,Depression,Level Mix,3,,1x1,1,1,1,-36.900203,174.809278,2020-02-27 14:24:00,SF,2020_02,461,SH1C3_200227_23019
TEST_ASM_1107,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,164,2518,01N-0434-W,161,L,1,BAR,Armco Barrier Damaged,Repair,3,,10,10,,10,-36.888848,174.796747,2020-03-01 07:19:00,SF,2020_02,508,SH1C3_200301_00033
TEST_ASM_1108,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,164,2518,01N-0434-W,4,R,1,BAR,Armco Barrier Damaged,Repair,2,,10,10,,10,-36.888553,174.797478,2020-03-01 07:20:00,SF,2020_02,507,SH1C3_200301_00051
TEST_ASM_1109,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2518,01N-0431-I,139,L,1,BAR,Armco Barrier Damaged,Repair,2,,3,3,,3,-36.889048,174.796782,2020-03-01 07:20:00,SF,2020_02,484,SH1C3_200301_00081
TEST_ASM_1110,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,157,2425,01N-0431-I,3310,L,1,PVM,Ravelling,Mill and Fill,3,,500x3,500,3,1500,-36.896307,174.807398,2020-03-01 07:21:00,SF,2020_02,490,SH1C3_200301_00215
TEST_ASM_1113,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1781,2495,01N-0431-D,431,L,4,PVM,Ravelling,Mill and Fill,3,,6x2,6,2,12,-36.915902,174.836638,2020-03-01 07:23:00,SF,2020_02,457,SH1C3_200301_00510
TEST_ASM_1118,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1769,2475,01N-0431/11.16-I,14472,L,1,PVM,Asphalt Delamination,Mill and Fill,3,,1x1,1,1,1,-36.972282,174.878682,2020-03-01 07:32:00,SF,2020_02,429,SH1C3_200301_01525
TEST_ASM_1119,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,194,2369,01N-0448-I,112,L,1,PVM,Rutting,Structural Asphalt SAC,3,,40x1,40,1,40,-36.992883,174.888297,2020-03-01 07:34:00,SF,2020_02,568,SH1C3_200301_01702
TEST_ASM_1124,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1734,2401,01N-0448/05.06-I,7687,L,1,PVM,Ravelling,Mill and Fill,2,,600x3,600,3,1800,-37.053905,174.919283,2020-03-01 07:38:00,SF,2020_02,554,SH1C3_200301_02265
TEST_ASM_1125,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1734,2401,01N-0448/05.06-I,8498,L,1,PVM,Ravelling,Mill and Fill,2,,800x3,800,3,2400,-37.060332,174.923597,2020-03-01 07:39:00,SF,2020_02,557,SH1C3_200301_02327
TEST_ASM_1127,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,209,2297,01N-0461-I,40,L,1,PVM,Ravelling,Mill and Fill,3,,60x3,60,3,180,-37.107682,174.946223,2020-03-01 07:42:00,SF,2020_02,626,SH1C3_200301_02743
TEST_ASM_1128,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1741,2296,01N-0461/01.31-I,957,L,1,PVM,Ravelling,Mill and Fill,3,,380x1,380,1,380,-37.115555,174.949203,2020-03-01 07:43:00,SF,2020_02,600,SH1C3_200301_02811
TEST_ASM_1129,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1741,2352,01N-0461/01.31-I,2073,L,1,PVM,Ravelling,Mill and Fill,3,,200x1,200,1,200,-37.122822,174.957575,2020-03-01 07:44:00,SF,2020_02,601,SH1C3_200301_02892
TEST_ASM_1132,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1741,2348,01N-0461/01.31-I,8566,L,1,PVM,Ravelling,Mill and Fill,3,,60x2,60,2,120,-37.175853,174.982362,2020-03-01 07:47:00,SF,2020_02,607,SH1C3_200301_03346
TEST_ASM_1134,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1741,2348,01N-0461/01.31-I,9178,L,1,BAR,Armco Barrier Damaged,Repair,3,,5,5,,5,-37.181122,174.98055,2020-03-01 07:48:00,SF,2020_02,609,SH1C3_200301_03392
TEST_ASM_1135,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1741,2348,01N-0461/01.31-I,9417,L,1,PVM,Ravelling,Mill and Fill,3,,80x1,80,1,80,-37.183273,174.98043,2020-03-01 07:48:00,SF,2020_02,610,SH1C3_200301_03410
TEST_ASM_1136,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1741,2348,01N-0461/01.31-I,10006,L,1,BAR,Armco Barrier Damaged,Repair,2,,10,10,,10,-37.188507,174.981407,2020-03-01 07:48:00,SF,2020_02,611,SH1C3_200301_03454
TEST_ASM_1137,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1741,2347,01N-0461/01.31-I,11037,L,1,PVM,Ravelling,Mill and Fill,2,,1000x2,1000,2,2000,-37.196703,174.986312,2020-03-01 07:49:00,SF,2020_02,612,SH1C3_200301_03531
TEST_ASM_1138,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1741,2344,01N-0461/01.31-I,12364,L,1,PVM,Ravelling,Mill and Fill,2,,620x3,620,3,1860,-37.206393,174.994317,2020-03-01 07:50:00,SF,2020_02,614,SH1C3_200301_03633
TEST_ASM_1140,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1640,2314,01N-0461/12.99-I,15640,L,1,PVM,Ravelling,Mill and Fill,2,,10x1,10,1,10,-37.229612,175.015313,2020-03-01 07:52:00,SF,2020_02,625,SH1C3_200301_03863
TEST_ASM_1144,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,465,002-0000,936,L,2,PVM,Ravelling,Mill and Fill,2,,120x3,120,3,360,-37.22678,175.030832,2020-03-01 07:57:00,SF,2020_02,4,SH1C3_200301_04166
TEST_ASM_1145,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,9688,002-0000,1828,L,1,PVM,Depression,Level Mix,2,,20x3,20,3,60,-37.224215,175.04029,2020-03-01 07:58:00,SF,2020_02,12,SH1C3_200301_04244
TEST_ASM_1147,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,464,002-0000,2912,L,1,PVM,Rutting,Structural Asphalt SAC,3,,30x2,30,2,60,-37.217872,175.048392,2020-03-01 07:59:00,SF,2020_02,16,SH1C3_200301_04342
TEST_ASM_1148,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,9689,002-0000,3713,L,1,PVM,Deformation/Shoving (C/S Rd),Dig Out,2,,10x2,10,2,20,-37.216303,175.057228,2020-03-01 07:59:00,SF,2020_02,17,SH1C3_200301_04412
TEST_ASM_1149,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,9689,002-0000,4090,L,1,PVM,Deformation/Shoving (C/S Rd),Dig Out,2,,10x2,10,2,20,-37.215553,175.06137,2020-03-01 07:59:00,SF,2020_02,20,SH1C3_200301_04444
TEST_ASM_1150,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,9689,002-0000,4563,L,1,PVM,Scabbing,Level Mix,3,,300x1,300,1,300,-37.214678,175.0666,2020-03-01 08:00:00,SF,2020_02,23,SH1C3_200301_04482
TEST_ASM_1151,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,463,002-0000,6085,L,1,PVM,Flushing,Water Cutting,3,,30x3,30,3,90,-37.212538,175.082835,2020-03-01 08:01:00,SF,2020_02,24,SH1C3_200301_04605
TEST_ASM_1152,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,463,002-0000,7125,L,1,PVM,Rutting,Structural Asphalt SAC,3,,60x3,60,3,180,-37.216445,175.093298,2020-03-01 08:01:00,SF,2020_02,27,SH1C3_200301_04691
TEST_ASM_1153,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,463,002-0000,7253,L,1,PVM,L & T Cracking (Fatigue & Joint),Jointseal,3,,40,40,,40,-37.216635,175.094712,2020-03-01 08:02:00,SF,2020_02,29,SH1C3_200301_04703
TEST_ASM_1155,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,2119,002-0000,14118,L,1,PVM,Flushing,Water Cutting,3,,20x3,20,3,60,-37.234098,175.166608,2020-03-01 08:06:00,SF,2020_02,33,SH1C3_200301_05256
TEST_ASM_1156,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,2118,002-0000,14443,L,1,PVM,Flushing,Water Cutting,3,,140x3,140,3,420,-37.235838,175.169558,2020-03-01 08:06:00,SF,2020_02,34,SH1C3_200301_05284
TEST_ASM_1158,TEST_ASM,SL1,STATE HIGHWAY,SH 1,10,1774,9692,002-0000,15630,L,1,PVM,Alligator Cracking (C/S Rd),Dig Out,3,,6x2,6,2,12,-37.244727,175.17574,2020-03-01 08:07:00,SF,2020_02,36,SH1C3_200301_05386
